time,open,high,low,close,tick_volume,spread,real_volume
2023-12-01 00:05:00,161.331,161.332,161.322,161.322,7,150,0
2023-12-01 00:06:00,161.312,161.312,161.289,161.298,41,119,0
2023-12-01 00:07:00,161.297,161.297,161.297,161.297,1,144,0
2023-12-01 00:08:00,161.298,161.306,161.294,161.301,18,125,0
2023-12-01 00:09:00,161.302,161.307,161.301,161.307,10,122,0
2023-12-01 00:10:00,161.31,161.313,161.298,161.313,10,130,0
2023-12-01 00:11:00,161.312,161.313,161.302,161.307,13,130,0
2023-12-01 00:12:00,161.316,161.318,161.302,161.308,19,128,0
2023-12-01 00:13:00,161.308,161.316,161.299,161.313,14,129,0
2023-12-01 00:14:00,161.313,161.314,161.309,161.313,7,128,0
2023-12-01 00:15:00,161.313,161.323,161.308,161.313,13,131,0
2023-12-01 00:16:00,161.296,161.303,161.296,161.298,7,101,0
2023-12-01 00:17:00,161.298,161.304,161.295,161.295,24,99,0
2023-12-01 00:18:00,161.296,161.301,161.296,161.299,6,100,0
2023-12-01 00:19:00,161.3,161.3,161.29,161.295,15,99,0
2023-12-01 00:20:00,161.297,161.301,161.292,161.298,20,98,0
2023-12-01 00:21:00,161.298,161.302,161.295,161.298,21,99,0
2023-12-01 00:22:00,161.3,161.313,161.3,161.312,24,101,0
2023-12-01 00:23:00,161.311,161.312,161.301,161.305,28,96,0
2023-12-01 00:24:00,161.308,161.309,161.303,161.304,13,95,0
2023-12-01 00:25:00,161.304,161.312,161.3,161.303,22,95,0
2023-12-01 00:26:00,161.302,161.308,161.301,161.307,19,91,0
2023-12-01 00:27:00,161.306,161.311,161.304,161.31,14,86,0
2023-12-01 00:28:00,161.311,161.311,161.308,161.309,14,86,0
2023-12-01 00:29:00,161.308,161.312,161.307,161.312,11,86,0
2023-12-01 00:30:00,161.311,161.32,161.31,161.32,34,82,0
2023-12-01 00:31:00,161.319,161.324,161.316,161.319,31,74,0
2023-12-01 00:32:00,161.32,161.326,161.32,161.322,19,71,0
2023-12-01 00:33:00,161.321,161.332,161.308,161.327,66,70,0
2023-12-01 00:34:00,161.323,161.328,161.322,161.326,33,70,0
2023-12-01 00:35:00,161.325,161.33,161.323,161.327,28,66,0
2023-12-01 00:36:00,161.327,161.334,161.326,161.33,59,62,0
2023-12-01 00:37:00,161.33,161.334,161.328,161.331,36,61,0
2023-12-01 00:38:00,161.331,161.339,161.328,161.338,46,61,0
2023-12-01 00:39:00,161.338,161.341,161.337,161.34,16,55,0
2023-12-01 00:40:00,161.341,161.341,161.334,161.338,23,50,0
2023-12-01 00:41:00,161.337,161.349,161.334,161.337,26,47,0
2023-12-01 00:42:00,161.338,161.338,161.328,161.33,21,45,0
2023-12-01 00:43:00,161.332,161.334,161.329,161.333,23,44,0
2023-12-01 00:44:00,161.331,161.333,161.329,161.329,11,42,0
2023-12-01 00:45:00,161.328,161.369,161.328,161.331,14,29,0
2023-12-01 00:46:00,161.333,161.334,161.327,161.331,23,33,0
2023-12-01 00:47:00,161.33,161.34,161.328,161.331,20,32,0
2023-12-01 00:48:00,161.331,161.332,161.327,161.33,11,33,0
2023-12-01 00:49:00,161.331,161.331,161.329,161.33,9,32,0
2023-12-01 00:50:00,161.331,161.333,161.33,161.332,8,34,0
2023-12-01 00:51:00,161.332,161.335,161.329,161.329,18,33,0
2023-12-01 00:52:00,161.328,161.332,161.326,161.331,15,34,0
2023-12-01 00:53:00,161.331,161.352,161.328,161.351,47,31,0
2023-12-01 00:54:00,161.35,161.415,161.348,161.365,354,35,0
2023-12-01 00:55:00,161.366,161.371,161.358,161.364,775,44,0
2023-12-01 00:56:00,161.359,161.417,161.35,161.352,616,39,0
2023-12-01 00:57:00,161.353,161.374,161.351,161.372,250,37,0
2023-12-01 00:58:00,161.373,161.397,161.364,161.392,469,31,0
2023-12-01 00:59:00,161.386,161.397,161.377,161.384,537,30,0
2023-12-01 01:00:00,161.383,161.395,161.346,161.357,251,10,0
2023-12-01 01:01:00,161.359,161.362,161.324,161.325,93,8,0
2023-12-01 01:02:00,161.324,161.324,161.298,161.298,68,2,0
2023-12-01 01:03:00,161.297,161.301,161.274,161.281,91,1,0
2023-12-01 01:04:00,161.28,161.3,161.277,161.294,70,7,0
2023-12-01 01:05:00,161.295,161.324,161.295,161.323,47,7,0
2023-12-01 01:06:00,161.324,161.324,161.294,161.297,48,10,0
2023-12-01 01:07:00,161.297,161.301,161.293,161.293,58,12,0
2023-12-01 01:08:00,161.291,161.291,161.277,161.278,49,10,0
2023-12-01 01:09:00,161.278,161.285,161.271,161.285,51,10,0
2023-12-01 01:10:00,161.286,161.307,161.286,161.292,46,10,0
2023-12-01 01:11:00,161.293,161.293,161.286,161.288,28,12,0
2023-12-01 01:12:00,161.285,161.288,161.279,161.286,63,8,0
2023-12-01 01:13:00,161.287,161.292,161.275,161.277,77,4,0
2023-12-01 01:14:00,161.276,161.29,161.276,161.284,51,7,0
